GENESIS-Tabelle: 46251-0020
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2022;01001;Flensburg, kreisfreie Stadt;52047;2942;-;2884;45488;26809;16230;81;2707;920;591;-;290;301;238;1489;5507;2091;70
01.01.2022;01002;Kiel, kreisfreie Stadt;131615;8314;-;8144;112154;71089;35234;947;8313;3217;976;-;327;649;911;3650;11419;4486;484
01.01.2022;01003;Lübeck, kreisfreie Stadt;120776;8500;-;8339;102167;66824;30127;227;7614;2752;1575;-;834;741;693;2359;14280;5300;2719
01.01.2022;01004;Neumünster, kreisfreie Stadt;51876;3469;-;3376;43435;26943;14163;72;3742;1477;768;-;357;411;390;864;7320;3412;476
01.01.2022;01051;Dithmarschen, Landkreis;108069;8160;-;7816;83763;48386;32319;83;7003;2772;8193;-;1174;7019;867;2184;24533;12965;1810
01.01.2022;01053;Herzogtum Lauenburg, Landkreis;148125;11592;-;11262;121181;75300;40192;88;9220;3626;5111;-;536;4575;933;2872;25334;12901;1089
01.01.2022;01054;Nordfriesland, Landkreis;138845;9953;-;9538;106916;60707;41099;202;11433;3911;8690;-;319;8371;1651;3724;31315;16665;512
01.01.2022;01055;Ostholstein, Landkreis;160535;13189;-;12758;130928;84081;41358;69;9349;3616;5962;-;589;5373;1038;3699;27346;13910;741
01.01.2022;01056;Pinneberg, Landkreis;217620;16005;-;15660;180947;118948;52023;87;14276;5692;5351;-;507;4844;954;4656;27825;13416;788
01.01.2022;01057;Plön, Landkreis;101211;8113;-;7848;82080;51167;27522;119;5856;2172;4389;-;254;4135;654;2809;17744;8804;366
01.01.2022;01058;Rendsburg-Eckernförde, Landkreis;220440;16354;-;15817;178191;103277;66761;134;13594;5019;10604;-;566;10038;1563;5637;40039;19925;765
01.01.2022;01059;Schleswig-Flensburg, Landkreis;168156;12649;-;12113;132284;71551;55315;184;10944;4308;10984;-;1347;9637;1111;4790;38560;19580;1143
01.01.2022;01060;Segeberg, Landkreis;210479;16353;-;15874;172484;107303;56015;74;13267;5144;7092;-;995;6097;1209;4624;32957;16951;1184
01.01.2022;01061;Steinburg, Landkreis;104450;8873;-;8476;83219;50495;29477;108;6222;2611;5423;-;371;5052;605;2280;20302;10817;575
