GENESIS-Tabelle: 46251-0020
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
01.01.2022;01062;Stormarn, Landkreis;188884;13816;-;13529;155952;98523;48633;28;12942;4541;4652;-;897;3755;1494;3809;25085;11677;1998
01.01.2022;02000;Hamburg, kreisfreie Stadt;956537;57522;-;56441;813847;516798;239503;2317;69394;21652;8033;-;3676;4357;5425;17393;76399;28304;11328
01.01.2022;03101;Braunschweig, kreisfreie Stadt;166767;11055;-;10852;145129;87265;46043;199;8203;3470;1464;-;620;844;717;2031;13536;5880;1118
01.01.2022;03102;Salzgitter, kreisfreie Stadt;65464;4477;-;4333;56716;36368;18049;111;2890;1283;984;-;264;720;286;657;8070;4066;619
01.01.2022;03103;Wolfsburg, kreisfreie Stadt;137322;6071;-;5876;126444;73603;37292;151;3215;1091;1032;-;87;945;409;1364;7039;3263;168
01.01.2022;03151;Gifhorn, Landkreis;137170;12783;-;12352;110345;65373;40073;170;6386;2818;6715;-;309;6406;771;2318;26538;14702;555
01.01.2022;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;03153;Goslar, Landkreis;97675;8226;-;8011;81082;52390;25163;88;4927;1973;2747;-;544;2203;605;1267;14275;7201;815
01.01.2022;03154;Helmstedt, Landkreis;68921;6250;-;6089;56848;35386;19054;128;2888;1250;2395;-;177;2218;412;1023;11062;5909;160
01.01.2022;03155;Northeim, Landkreis;111591;9634;-;9267;89214;57521;27912;102;5461;2187;6451;-;359;6092;729;1327;17366;9556;587
01.01.2022;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;03157;Peine, Landkreis;103928;9061;-;8798;86516;56098;26676;124;4518;2123;3194;-;349;2845;515;1338;16936;8794;594
01.01.2022;03158;Wolfenbüttel, Landkreis;91451;8306;-;8100;76168;49507;23218;106;3848;1586;2582;-;180;2402;441;1366;13379;6950;311
01.01.2022;03159;Göttingen, Landkreis;227144;17514;-;16903;185968;119822;57248;308;11997;5098;9986;-;1603;8383;1371;3145;35156;16176;5915
01.01.2022;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;03241;Region Hannover, Landkreis;706633;52416;-;51197;595333;388218;173820;923;40448;15181;13015;-;2597;10418;4498;9371;87430;43808;3702
01.01.2022;03251;Diepholz, Landkreis;182906;13822;-;13388;144341;90187;47231;210;11018;4695;12332;-;2082;10250;1183;2470;38445;21183;3007
01.01.2022;03252;Hameln-Pyrmont, Landkreis;112596;8947;-;8664;93844;62915;26815;147;5348;2358;3722;-;222;3500;588;1479;17822;10088;323
01.01.2022;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;03254;Hildesheim, Landkreis;195462;15346;-;14950;163474;108880;47286;277;9413;3747;5885;-;536;5349;1067;2413;25914;13825;717
01.01.2022;03255;Holzminden, Landkreis;56011;4445;-;4260;45514;30103;13622;63;2663;1203;2915;-;246;2669;411;769;10366;5822;428
01.01.2022;03256;Nienburg (Weser), Landkreis;102364;7960;-;7626;79099;48196;27001;270;6168;2745;8027;-;969;7058;840;1322;24393;14462;1489
01.01.2022;03257;Schaumburg, Landkreis;124318;9780;-;9522;103722;68707;29961;142;5731;2543;4235;-;503;3732;708;1635;22034;12492;662
01.01.2022;03351;Celle, Landkreis;137630;11371;-;10977;111909;69315;37754;142;7924;3212;5291;-;386;4905;993;2114;27644;15328;638
01.01.2022;03352;Cuxhaven, Landkreis;161610;12866;-;12368;128348;78789;44077;135;8794;3469;10426;-;435;9991;1041;2623;33606;18933;635
01.01.2022;03353;Harburg, Landkreis;208227;17389;-;16890;170339;104374;56692;102;11432;4351;7901;-;1051;6850;1064;4482;37891;18484;4653
01.01.2022;03354;Lüchow-Dannenberg, Landkreis;42369;3641;-;3458;31515;17984;12060;120;2541;1227;4207;-;172;4035;345;847;11783;7053;353
01.01.2022;03355;Lüneburg, Landkreis;129603;10075;-;9820;106793;65326;36177;206;7081;2723;4476;-;488;3988;972;2769;22859;12207;819
01.01.2022;03356;Osterholz, Landkreis;90660;6935;-;6714;74452;47767;23323;142;4428;1712;4136;-;148;3988;567;1585;16450;8579;182
01.01.2022;03357;Rotenburg (Wümme), Landkreis;151222;11236;-;10816;115795;63270;47228;145;10850;4270;12011;-;1581;10430;1185;2273;35189;19930;2397
01.01.2022;03358;Heidekreis;114068;9245;-;8895;90186;53600;32913;145;6915;2835;6721;-;482;6239;856;1791;24007;13816;691
01.01.2022;03359;Stade, Landkreis;159936;11440;-;11058;128133;79639;42478;342;8900;3489;10222;-;983;9239;899;2975;30979;16536;1339
01.01.2022;03360;Uelzen, Landkreis;72905;6069;-;5858;57962;36509;19120;50;3973;1452;4290;-;269;4021;561;1119;16153;9579;565
01.01.2022;03361;Verden, Landkreis;108363;7984;-;7731;88298;54921;29307;80;6154;2227;5251;-;665;4586;596;1629;21546;11321;985
01.01.2022;03401;Delmenhorst, kreisfreie Stadt;49382;3126;-;3049;43018;28648;11997;58;2402;966;607;-;253;354;171;605;5939;2946;340
01.01.2022;03402;Emden, kreisfreie Stadt;29929;2258;-;2189;25402;16530;7574;79;1578;656;494;-;162;332;118;587;4388;1967;437
01.01.2022;03403;Oldenburg (Oldenburg), kreisfreie Stadt;103850;6417;-;6322;90672;54807;30107;135;5409;1928;773;-;225;548;444;2042;11937;5498;305
01.01.2022;03404;Osnabrück, kreisfreie Stadt;101857;5904;-;5741;87279;54109;27291;169;6400;2270;1444;-;616;828;661;1294;10332;4762;1171
01.01.2022;03405;Wilhelmshaven, kreisfreie Stadt;47479;3505;-;3444;40541;27974;10777;60;2771;984;384;-;33;351;218;751;5225;2476;41
01.01.2022;03451;Ammerland, Landkreis;104112;7397;-;7187;81947;48785;29420;148;7685;3099;6329;-;473;5856;606;1764;21032;11475;723
01.01.2022;03452;Aurich, Landkreis;152404;12719;-;12362;119751;73478;40707;221;10265;4135;8713;-;419;8294;735;3035;31105;17077;662
01.01.2022;03453;Cloppenburg, Landkreis;135609;8066;-;7640;104725;50334;50175;169;11272;4720;10385;-;1290;9095;992;1377;30140;17943;1941
01.01.2022;03454;Emsland, Landkreis;264836;17687;-;16917;207753;105482;92512;336;18692;7049;18649;-;2690;15959;1719;3511;64820;37688;4954
01.01.2022;03455;Friesland, Landkreis;82279;6698;-;6509;67519;41774;22421;36;4155;1906;3464;-;284;3180;407;1696;14861;8210;591
01.01.2022;03456;Grafschaft Bentheim, Landkreis;108599;7121;-;6860;87111;42508;39392;89;7191;2590;6441;-;720;5721;646;1719;22724;12497;1122
01.01.2022;03457;Leer, Landkreis;132748;10510;-;10173;106268;61900;39531;142;8221;3956;7055;-;662;6393;552;2432;26203;13881;920
01.01.2022;03458;Oldenburg, Landkreis;107790;8255;-;8016;85831;50614;30897;65;6345;2608;6663;-;771;5892;631;1908;23264;12648;1162
01.01.2022;03459;Osnabrück, Landkreis;292956;20934;-;20183;235755;143544;81159;456;17539;7093;16860;-;1729;15131;1412;3542;52461;29277;2742
01.01.2022;03460;Vechta, Landkreis;114767;6944;-;6655;90346;47145;38687;301;8466;3463;7873;-;2085;5788;837;895;23993;13492;3699
01.01.2022;03461;Wesermarsch, Landkreis;68135;4660;-;4495;54440;32697;19383;129;4195;1708;4333;-;332;4001;378;1129;16605;8533;1083
01.01.2022;03462;Wittmund, Landkreis;48735;3869;-;3739;37278;22645;13088;76;3181;1387;4088;-;108;3980;243;802;10560;6223;153
01.01.2022;04011;Bremen, kreisfreie Stadt;286099;17526;-;17164;247291;159096;73726;370;15992;6058;3043;-;1701;1342;1877;4362;30126;12972;3227
01.01.2022;04012;Bremerhaven, kreisfreie Stadt;59910;3255;-;3175;52039;34095;15198;100;3696;1668;528;-;311;217;292;686;6333;3197;778
01.01.2022;05111;Düsseldorf, kreisfreie Stadt;371169;24318;-;23684;318807;191855;98573;674;20854;6906;1638;-;495;1143;4878;3261;17534;6725;1489
01.01.2022;05112;Duisburg, kreisfreie Stadt;272683;19019;-;18614;235888;164556;57733;237;13943;6053;2528;-;1789;739;1068;2460;22338;9390;3046
01.01.2022;05113;Essen, kreisfreie Stadt;341166;22833;-;22294;295646;206929;68149;472;18662;6308;2062;-;861;1201;1491;3023;21775;8505;1345
01.01.2022;05114;Krefeld, kreisfreie Stadt;139383;9335;-;9063;121480;82453;31249;150;6774;2544;1211;-;434;777;433;1684;17254;4608;7023
01.01.2022;05116;Mönchengladbach, kreisfreie Stadt;165390;10902;-;10601;142463;96796;37035;310;9569;3568;1650;-;506;1144;496;2030;13469;6152;706
01.01.2022;05117;Mülheim an der Ruhr, kreisfreie Stadt;109618;7943;-;7787;95340;68111;21206;32;5274;2098;662;-;224;438;367;1258;7689;3250;291
01.01.2022;05119;Oberhausen, kreisfreie Stadt;130322;9465;-;9253;113433;82470;24605;175;6131;2373;645;-;313;332;473;1259;9315;3797;395
01.01.2022;05120;Remscheid, kreisfreie Stadt;74600;5739;-;5549;63640;44329;15531;103;4087;1305;791;-;277;514;240;766;6023;2686;438
01.01.2022;05122;Solingen, kreisfreie Stadt;113546;9211;-;8993;97868;68241;22650;129;5354;2037;685;-;127;558;299;1357;8142;3786;188
01.01.2022;05124;Wuppertal, kreisfreie Stadt;208382;17371;-;16933;178105;122538;44514;408;10348;4058;1454;-;448;1006;696;2304;13630;5833;671
01.01.2022;05154;Kleve, Landkreis;239448;15494;-;14961;199762;115892;71093;213;13652;5903;9192;-;1547;7645;1135;4090;37147;18797;1969
01.01.2022;05158;Mettmann, Landkreis;352052;27120;-;26500;300284;201734;78243;180;19675;7846;3344;-;1000;2344;1449;4455;26126;11184;1614
01.01.2022;05162;Rhein-Kreis Neuss;328305;24426;-;23830;277848;186729;74010;345;19336;9145;5224;-;1515;3709;1126;3667;27014;11830;2424
01.01.2022;05166;Viersen, Landkreis;230946;16714;-;16233;192423;126059;54783;256;14139;6014;6032;-;1232;4800;1382;3652;32437;13066;1945
01.01.2022;05170;Wesel, Landkreis;345006;25868;-;25232;292694;195604;78717;606;16731;6388;7506;-;1588;5918;1601;4978;42876;20586;3391
01.01.2022;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;05314;Bonn, kreisfreie Stadt;277551;11795;-;11548;174763;103632;57266;292;88525;36261;845;-;157;688;1331;2115;11777;5314;670
01.01.2022;05315;Köln, kreisfreie Stadt;575746;41765;-;40834;492827;318926;130407;1019;34330;12413;3324;-;1744;1580;2481;7704;32284;12923;2403
01.01.2022;05316;Leverkusen, kreisfreie Stadt;105409;7761;-;7581;91204;61736;22747;240;4927;1983;846;-;208;638;431;1157;7574;3328;443
01.01.2022;05334;Städteregion Aachen, Landkreis;351196;26596;-;25938;299478;197794;80840;617;17364;6889;5851;-;1599;4252;1290;4768;37353;17235;1998
01.01.2022;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;05358;Düren, Landkreis;201555;16836;-;16380;166690;109069;47756;452;10585;4100;6037;-;899;5138;955;2729;27627;14063;1171
01.01.2022;05362;Rhein-Erft-Kreis;341076;26362;-;25660;287108;195065;75205;451;20874;8491;4921;-;1539;3382;1360;4390;30863;14036;2618
01.01.2022;05366;Euskirchen, Landkreis;167988;12586;-;12071;135806;84425;42530;263;10358;3824;8267;-;608;7659;708;2344;26698;14079;1014
01.01.2022;05370;Heinsberg, Landkreis;198393;15296;-;14810;165831;102051;52414;342;10577;4217;5571;-;699;4872;776;2879;30953;15641;1123
01.01.2022;05374;Oberbergischer Kreis;218896;16914;-;16221;180966;116497;54864;378;11168;4387;8674;-;469;8205;796;3027;28664;15447;742
01.01.2022;05378;Rheinisch-Bergischer Kreis;218112;18953;-;18454;184071;125750;46261;205;10344;3547;3863;-;250;3613;676;3361;21633;10266;405
01.01.2022;05382;Rhein-Sieg-Kreis;447392;37104;-;36055;374504;249542;103734;506;22860;8835;10781;-;1203;9578;1637;6134;48259;23911;1611
01.01.2022;05512;Bottrop, kreisfreie Stadt;81305;6540;-;6398;69922;51143;14817;63;3676;1634;835;-;284;551;269;785;6121;2745;501
01.01.2022;05513;Gelsenkirchen, kreisfreie Stadt;144540;9564;-;9265;124908;89552;28082;351;8090;3334;1130;-;652;478;497;1005;9538;4112;842
01.01.2022;05515;Münster, kreisfreie Stadt;176481;11038;-;10802;151531;91889;49464;247;10419;3557;2504;-;558;1946;742;3312;17575;7971;950
01.01.2022;05554;Borken, Landkreis;284788;17873;-;17282;231725;129380;88572;351;18848;6850;14152;-;2568;11584;1839;4309;50775;26043;3951
01.01.2022;05558;Coesfeld, Landkreis;175967;13223;-;12815;143139;85500;49680;285;9361;3972;8884;-;896;7988;1075;3204;29596;15524;1342
01.01.2022;05562;Recklinghausen, Landkreis;421154;34032;-;33314;361126;256826;84332;612;17998;7132;5908;-;1660;4248;1478;5030;41487;19371;2809
01.01.2022;05566;Steinfurt, Landkreis;341657;23773;-;23019;281036;165921;100122;488;18932;7509;15736;-;2534;13202;1692;5566;60733;32068;4015
01.01.2022;05570;Warendorf, Landkreis;213070;15056;-;14667;176360;110877;56797;223;10173;4265;10218;-;1476;8742;1040;2997;33726;18764;2212
01.01.2022;05711;Bielefeld, kreisfreie Stadt;203665;12685;-;12395;176926;111430;53951;251;11044;4589;1990;-;596;1394;769;2771;17051;7760;882
01.01.2022;05754;Gütersloh, Landkreis;284034;19306;-;18737;234701;146764;75300;413;17629;7401;10732;-;2611;8121;1253;3592;44755;22876;7999
01.01.2022;05758;Herford, Landkreis;194869;13734;-;13442;164914;109374;46609;217;10446;4501;4855;-;1004;3851;703;2419;26969;13946;2009
01.01.2022;05762;Höxter, Landkreis;114121;8523;-;8140;91326;56572;30605;150;5834;2681;7678;-;523;7155;610;1306;20152;11613;850
01.01.2022;05766;Lippe, Landkreis;261164;19432;-;18902;219811;141426;67372;485;13050;5486;7297;-;1015;6282;1089;3868;38688;20477;1534
01.01.2022;05770;Minden-Lübbecke, Landkreis;249689;16604;-;16130;206251;133434;62420;206;14894;6886;10379;-;1283;9096;1355;2907;40246;23195;2186
01.01.2022;05774;Paderborn, Landkreis;225998;15641;-;15136;187201;113437;62194;316;12363;5176;9460;-;1560;7900;1017;2961;31585;17124;2261
01.01.2022;05911;Bochum, kreisfreie Stadt;246500;16425;-;16096;211173;149512;45045;202;16683;4689;1219;-;441;778;798;2281;15223;6303;617
01.01.2022;05913;Dortmund, kreisfreie Stadt;342435;23887;-;23330;297919;203622;75940;439;16631;6485;2462;-;1331;1131;1097;3363;26951;11189;1927
01.01.2022;05914;Hagen, kreisfreie Stadt;116795;9078;-;8830;99899;69654;24986;242;5806;2438;1272;-;587;685;498;1117;8723;3862;836
01.01.2022;05915;Hamm, kreisfreie Stadt;115426;7570;-;7356;99702;67002;27741;236;5612;2469;1933;-;482;1451;373;1289;13671;6877;856
01.01.2022;05916;Herne, kreisfreie Stadt;90922;6621;-;6474;78821;58113;16617;175;4574;1740;375;-;167;208;356;705;6149;2851;228
01.01.2022;05954;Ennepe-Ruhr-Kreis;239180;21569;-;21101;201765;142521;47714;397;11011;4557;3617;-;670;2947;821;3158;21958;9744;1322
01.01.2022;05958;Hochsauerlandkreis;208541;14724;-;14144;170729;105179;56945;433;11520;4401;10109;-;981;9128;1026;2742;32805;17663;1572
01.01.2022;05962;Märkischer Kreis;301529;22667;-;21962;256494;173007;70206;504;14044;5917;6615;-;1084;5531;1205;3817;31625;14930;1887
01.01.2022;05966;Olpe, Landkreis;111768;8067;-;7819;91117;57747;29111;93;6821;2323;5182;-;518;4664;488;1127;15605;8031;809
01.01.2022;05970;Siegen-Wittgenstein, Landkreis;214904;15478;-;15028;178233;117528;51266;231;10441;3871;9623;-;1081;8542;898;2445;28311;14840;2059
01.01.2022;05974;Soest, Landkreis;233900;17300;-;16852;194461;123235;60839;204;11403;4678;9295;-;1556;7739;1237;3388;36737;19157;2535
01.01.2022;05978;Unna, Landkreis;282880;22128;-;21599;242552;165996;63249;282;12726;5374;4097;-;1040;3057;1095;3745;30676;13531;1746
01.01.2022;06411;Darmstadt, kreisfreie Stadt;84271;5607;-;5485;73192;46842;20808;127;4355;1572;644;-;109;535;346;1042;4710;2161;187
01.01.2022;06412;Frankfurt am Main, kreisfreie Stadt;396819;23185;-;22603;343598;199923;109912;716;25056;6625;1974;-;522;1452;2290;2408;16165;6973;1005
01.01.2022;06413;Offenbach am Main, kreisfreie Stadt;67190;4126;-;4014;58326;35842;18325;88;3991;1583;455;-;327;128;204;408;3424;1594;396
01.01.2022;06414;Wiesbaden, kreisfreie Stadt;226817;11613;-;11316;191628;123205;46679;376;18341;3817;1857;-;324;1533;3002;1365;11165;4851;749
01.01.2022;06431;Bergstraße, Landkreis;214909;18749;-;18202;176649;115867;50946;257;11811;4881;6371;-;480;5891;1072;2694;23925;12068;731
01.01.2022;06432;Darmstadt-Dieburg, Landkreis;229351;19828;-;19293;190619;127791;51163;141;11791;5121;6172;-;1152;5020;802;3022;24818;13162;1148
01.01.2022;06433;Groß-Gerau, Landkreis;187119;15172;-;14759;156731;104139;44414;220;10960;4470;3140;-;767;2373;896;1754;16681;8318;1227
01.01.2022;06434;Hochtaunuskreis;189479;12876;-;12544;163192;104781;45980;63;9151;3412;3521;-;435;3086;676;1687;13410;6889;506
01.01.2022;06435;Main-Kinzig-Kreis;317056;24685;-;23674;263068;169683;79237;287;17214;7026;10286;-;915;9371;1516;3265;34302;18541;1119
01.01.2022;06436;Main-Taunus-Kreis;210287;12771;-;12480;180465;114829;50178;162;14083;3515;2090;-;228;1862;716;1885;10570;5071;304
01.01.2022;06437;Odenwaldkreis;78805;6459;-;6170;63374;41305;18690;195;3834;1570;4449;-;80;4369;494;1075;11848;6751;136
01.01.2022;06438;Offenbach, Landkreis;254386;18977;-;18493;218684;144663;60962;260;13320;5151;2313;-;540;1773;833;2231;17526;8739;684
01.01.2022;06439;Rheingau-Taunus-Kreis;150145;13602;-;13138;123638;82059;34505;83;6650;2410;5455;-;108;5347;717;1720;16451;8735;128
01.01.2022;06440;Wetteraukreis;237825;18429;-;17764;195942;127204;57938;228;12922;4905;9247;-;495;8752;1057;2485;28105;15350;733
01.01.2022;06531;Gießen, Landkreis;189203;14173;-;13638;156502;98913;48936;238;10774;4306;6537;-;775;5762;979;2292;22574;11615;1355
01.01.2022;06532;Lahn-Dill-Kreis;201296;16152;-;15577;165738;106143;51931;209;10473;4099;7536;-;631;6905;1188;2315;27332;14882;1091
01.01.2022;06533;Limburg-Weilburg, Landkreis;139859;11760;-;11270;113974;72623;35130;217;7950;2952;5236;-;439;4797;722;1558;18269;9731;743
01.01.2022;06534;Marburg-Biedenkopf, Landkreis;178572;14482;-;13970;145037;95069;43624;384;7941;3157;9891;-;408;9483;837;1947;22757;12596;645
01.01.2022;06535;Vogelsbergkreis;96681;8309;-;7757;72957;45718;24213;135;4694;1990;9910;-;222;9688;676;1081;16890;9830;352
01.01.2022;06611;Kassel, kreisfreie Stadt;106750;6286;-;6072;91588;57803;27994;104;7148;3214;1050;-;322;728;575;1626;9439;4147;628
01.01.2022;06631;Fulda, Landkreis;187251;17470;-;16643;145154;89346;49184;268;10169;4050;13258;-;687;12571;932;2254;27580;15178;1080
01.01.2022;06632;Hersfeld-Rotenburg, Landkreis;103346;9163;-;8664;80151;49984;27266;56;5487;2625;7771;-;552;7219;718;1042;16833;9626;769
01.01.2022;06633;Kassel, Landkreis;186902;15820;-;15134;152902;100705;43988;154;9038;3869;8199;-;1043;7156;789;3182;28457;14753;1594
01.01.2022;06634;Schwalm-Eder-Kreis;153483;14136;-;13387;120761;76629;38082;262;6627;3041;10833;-;896;9937;864;2086;27293;15947;1102
01.01.2022;06635;Waldeck-Frankenberg, Landkreis;136952;11831;-;11273;106295;66624;34989;205;6842;2638;11048;-;412;10636;731;1449;22635;12414;777
01.01.2022;06636;Werra-Meißner-Kreis;81389;7383;-;6830;63488;39940;20986;118;3809;1744;6124;-;230;5894;467;1116;13436;7849;361
01.01.2022;07111;Koblenz, kreisfreie Stadt;75890;4929;-;4781;64409;39828;20783;295;4824;2029;1017;-;369;648;416;824;6375;2893;366
01.01.2022;07131;Ahrweiler, Landkreis;107781;8925;-;8526;85929;55599;26186;225;6205;2430;5960;-;444;5516;537;1279;15343;8278;538
01.01.2022;07132;Altenkirchen (Westerwald), Landkreis;106525;9320;-;8943;85341;55470;25924;378;5621;2062;5352;-;299;5053;513;1258;16630;9086;543
01.01.2022;07133;Bad Kreuznach, Landkreis;128589;10448;-;9957;102107;66726;30923;130;7857;3942;7341;-;567;6774;706;1378;19623;11235;886
01.01.2022;07134;Birkenfeld, Landkreis;64908;5090;-;4769;52870;35027;15626;122;3201;1276;3275;-;94;3181;350;647;12107;6897;228
01.01.2022;07135;Cochem-Zell, Landkreis;56425;5062;-;4757;42187;24517;15946;92;2985;1226;5778;-;163;5615;321;537;10425;6023;247
01.01.2022;07137;Mayen-Koblenz, Landkreis;172892;14138;-;13521;141583;91566;43287;131;9627;3930;6698;-;813;5885;715;1869;24845;13408;1079
01.01.2022;07138;Neuwied, Landkreis;149755;12307;-;11848;122552;78014;38316;146;8410;3193;5629;-;671;4958;711;1851;20961;11191;1068
01.01.2022;07140;Rhein-Hunsrück-Kreis;92797;7555;-;7097;71825;41285;27313;391;5257;1983;7279;-;483;6796;490;1056;17974;9951;762
01.01.2022;07141;Rhein-Lahn-Kreis;101113;9244;-;8774;81272;53546;23968;113;4928;1770;5001;-;129;4872;555;1311;15008;8145;209
01.01.2022;07143;Westerwaldkreis;174102;14474;-;13848;139566;86933;45913;223;10220;3472;8752;-;830;7922;867;1983;27565;14490;1298
01.01.2022;07211;Trier, kreisfreie Stadt;195530;17228;-;16502;156505;93957;54917;332;10185;4072;10374;-;399;9975;906;1992;25714;13431;703
01.01.2022;07231;Bernkastel-Wittlich, Landkreis;100451;7827;-;7332;76409;44573;28631;180;5814;2330;9613;-;373;9240;608;994;18181;9685;661
01.01.2022;07232;Eifelkreis Bitburg-Prüm;93313;8149;-;7558;68210;35907;29418;198;5447;2199;10593;-;242;10351;716;835;17560;10216;515
01.01.2022;07233;Vulkaneifel, Landkreis;57275;5122;-;4747;42378;24194;16487;134;3356;1360;5934;-;207;5727;351;629;11273;6510;304
01.01.2022;07235;Trier-Saarburg, Landkreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;07311;Frankenthal (Pfalz), kreisfreie Stadt;31591;2288;-;2230;26965;18117;7501;26;1625;577;561;-;232;329;126;233;2635;1221;279
01.01.2022;07312;Kaiserslautern, kreisfreie Stadt;57273;3712;-;3596;49648;33344;13128;117;2962;1182;539;-;84;455;295;525;4850;2492;124
01.01.2022;07313;Landau in der Pfalz, kreisfreie Stadt;33327;2492;-;2451;27970;18463;7837;-;1778;814;895;-;60;835;192;464;3266;1652;150
01.01.2022;07314;Ludwigshafen am Rhein, kreisfreie Stadt;98838;7035;-;6773;84669;56542;23545;284;5440;2268;830;-;363;467;580;695;6325;3063;552
01.01.2022;07315;Mainz, kreisfreie Stadt;118019;7735;-;7533;101280;66371;28492;1166;5878;2276;1111;-;229;882;849;1211;6817;2813;497
01.01.2022;07316;Neustadt an der Weinstraße, kreisfreie Stadt;39977;2917;-;2837;33364;22039;9743;6;2350;1063;1165;-;119;1046;175;499;3931;2113;82
